Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
PAX1,-1.63044472254259,4.66393907250185e-47,8.8348954262187e-45,Downregulated
PCDH17,-2.82368213537988,1.54534242284261e-46,2.8736280338162304e-44,Downregulated
SFRP1,1.96888600451073,4.547159932113321e-44,7.94537798827629e-42,Upregulated
PTPRN2,-1.73559280706977,1.07867933757425e-43,1.86869670882842e-41,Downregulated
SCN5A,-4.04770212885722,1.94890714561701e-43,3.34766092665349e-41,Downregulated
RTN2,-1.13167114076808,2.46987209048891e-43,4.17181978350997e-41,Downregulated
EPHA2,1.24916349922312,5.366913376928899e-43,8.99024522619603e-41,Upregulated
KCNT1,-1.75713396299574,1.1556654519828799e-42,1.88904701985814e-40,Downregulated
TMEM178B,-1.23883658697634,1.69596573515342e-42,2.75004235886597e-40,Downregulated
LOC100130872,3.03764093864545,3.86143815093076e-42,6.16279447883588e-40,Upregulated
DNASE1L2,-2.22576944343301,4.53955859125375e-42,7.1884619598533e-40,Downregulated
APLP1,-1.02154260878638,1.74103349109327e-41,2.71453906392073e-39,Downregulated
NEFH,-3.98992442972178,3.7812529947371997e-41,5.80622855684306e-39,Downregulated
KIF12,-1.16965608109158,7.85501151839341e-40,1.16214035376873e-37,Downregulated
BASP1,-1.32962665508529,1.92863333402309e-39,2.81233590268447e-37,Downregulated
VWA2,-2.09642750238849,7.659762470316481e-39,1.0933501796538398e-36,Downregulated
DLGAP3,-2.24928075293026,2.78422840570319e-38,3.89196727966883e-36,Downregulated
TMEM200C,3.35953703824019,8.54919757541272e-38,1.1629777560808101e-35,Upregulated
RUNDC3A,-1.69202564896162,1.29177086540624e-37,1.7339671305244401e-35,Downregulated
TLN2,-1.63314010963837,2.51767982404e-37,3.3353498270239704e-35,Downregulated
CDK5R2,-2.82330521951586,2.63686484013614e-37,3.47055931459217e-35,Downregulated
CYFIP2,-1.11482968755207,1.749602153052e-36,2.2026513068454e-34,Downregulated
TMEM121B,-1.33512722929152,1.8248682335474198e-36,2.28322556949214e-34,Downregulated
CCDC92B,-2.79488760098711,2.98062438093459e-36,3.70639727467258e-34,Downregulated
CHGB,-2.20204674080209,1.54300149944531e-35,1.88404201158174e-33,Downregulated
TMEM151A,-2.6669591784806,2.6104342479510204e-35,3.14945784355472e-33,Downregulated
SLFN13,2.39790248707872,2.7922365875438e-35,3.34886647295415e-33,Upregulated
SNAP25,-2.05966456800357,8.48476222433597e-35,9.99870032122476e-33,Downregulated
HRH3,-2.15054772407429,1.0576534775039199e-34,1.23916637777612e-32,Downregulated
ACTL6B,-2.01645215358903,1.3007214758217399e-34,1.48950980753847e-32,Downregulated
NPR1,-1.24196435451237,1.69095495164373e-34,1.9255037030824e-32,Downregulated
HGF,1.02757561967948,3.32869403521354e-34,3.72537377363163e-32,Upregulated
GDAP1,-1.30660638810999,3.34509855839438e-34,3.72537377363163e-32,Downregulated
SCART1,3.25367499311306,4.82762572774108e-34,5.31799705845565e-32,Upregulated
ARHGAP32,-1.50550683270666,2.29717927224554e-33,2.47667695048643e-31,Downregulated
KCNH2,-1.14678444777266,4.90509959955894e-33,5.23270862018211e-31,Downregulated
ADAMTS1,1.25208940349014,1.55397090566358e-32,1.6404914732757798e-30,Upregulated
L1CAM,-1.74843959311582,4.36891345104956e-32,4.51803605812875e-30,Downregulated
CACNA1H,1.19213445880282,6.47108470839963e-32,6.5581207977276e-30,Upregulated
ACE,-1.34507836369314,1.58706344990036e-31,1.57687201304071e-29,Downregulated
VWA5B2,-1.09618569171478,1.8811773391052602e-31,1.85997968225973e-29,Downregulated
COL5A1,-1.69045757406222,4.22798946042162e-31,4.12005376794643e-29,Downregulated
TIMP3,-1.28330541794146,7.5950594432383405e-31,7.36575406004775e-29,Downregulated
CPED1,2.27572616388334,4.0385621271688e-30,3.72080071616292e-28,Upregulated
LIPG,1.4039451570415,9.2454608907291e-30,8.3287220797417e-28,Upregulated
BDKRB1,-3.25834528149582,9.644076979090049e-30,8.64937151722019e-28,Downregulated
STX1A,-1.1300816256673,4.31464617136413e-29,3.75337181319226e-27,Downregulated
SBK1,-1.19010202382453,4.46679242159978e-29,3.86912032450453e-27,Downregulated
ANKRD29,-1.25785555338011,6.30082594304837e-29,5.3689602703904e-27,Downregulated
TM4SF1,1.12420941719707,2.44150589124164e-28,2.05339763110277e-26,Upregulated
SYT17,1.61852913323351,2.99971140396452e-28,2.51244423334533e-26,Upregulated
LOC124909474,1.93287141998337,4.092880939239919e-28,3.4139343110063296e-26,Upregulated
GUCY1A1,2.04787259617001,5.79190946065241e-28,4.77220377471397e-26,Upregulated
SSTR1,-1.1792894672439,6.53250059551471e-28,5.36061759394687e-26,Downregulated
SLC8A2,-1.95194495794744,6.924728349058309e-28,5.63684011674952e-26,Downregulated
SLCO2A1,1.5295868682219,6.99264088156677e-28,5.66935352113907e-26,Upregulated
PDZRN4,-1.04103601955928,8.47375910103769e-28,6.815659651544959e-26,Downregulated
SRRM3,-1.09012037222035,1.11448625624591e-27,8.89351257001905e-26,Downregulated
STXBP5L,-1.42242320754215,1.25291419631939e-27,9.95894817458734e-26,Downregulated
STOML1,-1.23857741653535,2.59100976023538e-27,2.0121523689736001e-25,Downregulated
KCNH6,-1.76686999869594,3.24451350065527e-27,2.50049597508676e-25,Downregulated
GCK,4.01606038518818,5.00634324586015e-27,3.84369588069468e-25,Upregulated
ATP10D,-1.05626223783969,7.32381445037893e-27,5.51845334924649e-25,Downregulated
PRUNE2,1.08469163978551,2.70898449131684e-26,1.96804324926527e-24,Upregulated
KCNC3,-1.4457129776978,3.6383877950633397e-26,2.58759586730312e-24,Downregulated
F3,1.89556291877732,5.6983861593437e-26,4.02441076877134e-24,Upregulated
DIXDC1,1.07329221744652,9.24042300725473e-26,6.4807658800708e-24,Upregulated
CAPN5,-1.26657476681255,9.7010705306924e-26,6.78037926160704e-24,Downregulated
LUZP2,-1.63564635340386,1.39916723264824e-25,9.7456084668547e-24,Downregulated
NAPB,-1.12391201970757,4.7008873486944805e-25,3.17607618902295e-23,Downregulated
GPRC5A,2.43241642163067,9.697554316176811e-25,6.53022353603281e-23,Upregulated
SYN1,-1.91791328700067,1.0519858993261001e-24,7.06049741504662e-23,Downregulated
TMEM198,-1.95646043327401,1.56719213823155e-24,1.0347041514597799e-22,Downregulated
CHRM4,-1.2686667128492,1.71584640401437e-24,1.1255175004196498e-22,Downregulated
ZNF473CR,-1.52100252249838,2.59269539183944e-24,1.67895664208286e-22,Downregulated
