Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
LOC105378179,-1.71411935447276,2.51844228194957e-08,2.29770822311987e-06,Downregulated
GAPDH-DT,1.79905891002049,3.04552588509672e-08,2.76696858029248e-06,Upregulated
LOC285232,1.58384730677695,3.1294001990342e-08,2.83132483007619e-06,Upregulated
LOC124903457,-3.02986959489423,3.49492335764062e-08,3.14891144347753e-06,Downregulated
SLC25A51,-1.61987533730812,3.51292452494439e-08,3.1520513692001e-06,Downregulated
LOC100996361,-3.25992641300471,3.88698203484052e-08,3.47333036644144e-06,Downregulated
HCG4,-3.82079829490554,4.10759043724304e-08,3.65541880140555e-06,Downregulated
WASH7P,-3.26729586116376,4.15721546726352e-08,3.68448067984327e-06,Downregulated
CCSER1,-1.79049829509644,4.46671031925835e-08,3.92712269953037e-06,Downregulated
ZDHHC11B,-3.16300376925097,4.46716084914802e-08,3.92712269953037e-06,Downregulated
DYNC2I1,-2.85339058436502,5.12672316979509e-08,4.48877689148914e-06,Downregulated
LOC388436,-3.11169017675645,5.32554872191485e-08,4.64413513846021e-06,Downregulated
ELOA3BP,-2.90460462075278,5.40199471554029e-08,4.69195653012967e-06,Downregulated
NAPEPLD,1.28456633726525,5.42935247950776e-08,4.69693066693353e-06,Upregulated
MAB21L3,-2.04959091301107,5.60908229421382e-08,4.83315924351424e-06,Downregulated
POU6F1,-3.10613562242293,5.65302246960171e-08,4.85176798043208e-06,Downregulated
LOC105379382,2.36937558849586,5.80928489318508e-08,4.96625244766223e-06,Upregulated
LOC124903780,-2.34496594358976,5.92975774661103e-08,5.0493631258789e-06,Downregulated
LOC124905360,-2.58937400506034,6.02787970066717e-08,5.11286639922996e-06,Downregulated
TPM3P9,-3.5162528913905,6.29745619930925e-08,5.32073789540082e-06,Downregulated
MKNK1,-3.44822005876721,6.61937575043286e-08,5.57105135832943e-06,Downregulated
CYP2AB1P,-3.52728054674191,7.20128078252361e-08,6.03739810469952e-06,Downregulated
GARS1,1.68539560165184,7.88066797772727e-08,6.556752798773e-06,Upregulated
TM2D2,1.23699408630311,7.88114801731488e-08,6.556752798773e-06,Upregulated
TRG,-1.48420291976868,7.98742138356136e-08,6.61980411918516e-06,Downregulated
ITGB1P1,1.20887947703679,8.14540819016782e-08,6.72507199396593e-06,Upregulated
MIR1302-2HG,-2.35133303556451,8.32471588112787e-08,6.84707881222768e-06,Downregulated
LOC103171574,-2.5302703131812,9.453634872556e-08,7.74627274047853e-06,Downregulated
LOC105379597,-2.33316793672829,9.56497919367047e-08,7.80804354178047e-06,Downregulated
FMO10P,-2.50304750496935,1.01055399488206e-07,8.21841552242284e-06,Downregulated
RPRD1B,-2.98620033655241,1.03981716308332e-07,8.42484696984751e-06,Downregulated
ANKRD44,-2.78684676143145,1.08218522868411e-07,8.7355279017274e-06,Downregulated
FAM172A,-3.12769680989362,1.15831952202199e-07,9.31546300043909e-06,Downregulated
LOC124903135,-3.00911934399744,1.18543643314385e-07,9.49836409936734e-06,Downregulated
EIF1AXP1,-3.53028261727907,1.23407717831457e-07,9.85174700364798e-06,Downregulated
LOC105373252,-2.43995416037556,1.30123815774078e-07,1.03498481161843e-05,Downregulated
ZBTB8B,-2.73997904800761,1.31891835159107e-07,1.04521872578279e-05,Downregulated
GLYATL2,-2.76504662659071,1.40749687637079e-07,1.11135953358237e-05,Downregulated
CRX,-2.91598872704848,1.60022463293595e-07,1.25895933621635e-05,Downregulated
PRIM2BP,-1.97200554643069,1.8525288084848e-07,1.44697160242587e-05,Downregulated
LINC02533,2.444926986705,1.8848185773836e-07,1.46691579173145e-05,Upregulated
LINC02972,-2.54248859953959,1.89695431929314e-07,1.47108807461183e-05,Downregulated
PPIP5K1P1-CATSPER2,-2.30297847553879,2.2144407761064e-07,1.71118743816279e-05,Downregulated
LOC107984701,2.97317017681674,2.3611620121125e-07,1.81809474932663e-05,Upregulated
CYP4F26P,-3.16065095015532,2.46494094047858e-07,1.88893515709703e-05,Downregulated
LINC00863,-1.28378073130197,2.47056085758293e-07,1.88893515709703e-05,Downregulated
CEP89,-2.83581783190904,2.71505590898204e-07,2.06858680728548e-05,Downregulated
FRK,-2.96263941650286,2.75792292554618e-07,2.0938999442416e-05,Downregulated
RPL36,1.05410658911959,3.23881527623198e-07,2.45044024070039e-05,Upregulated
LOC124907726,-2.28608886356477,3.44890695362824e-07,2.60033213857929e-05,Downregulated
LOC643406,-2.98170885110865,3.66579041721301e-07,2.75428972731361e-05,Downregulated
FKBP6,-2.1240498095705,3.73016688126087e-07,2.79299460895513e-05,Downregulated
PDXDC2P,-1.54029287066517,3.85207211540873e-07,2.86512107669805e-05,Downregulated
LRRC46,1.23258884014068,3.85288456477771e-07,2.86512107669805e-05,Upregulated
TLR10,-3.20032640722718,3.97050931750107e-07,2.94251328737946e-05,Downregulated
CEP250,-1.96695040891792,4.03990352241351e-07,2.98375731583969e-05,Downregulated
LOC642355,-2.78124682925995,4.25732224441309e-07,3.1336778039046e-05,Downregulated
LOC105376078,-1.82068909960193,4.38759508272808e-07,3.2186567441337e-05,Downregulated
USP41,-3.10361019121912,4.7555391819085e-07,3.47682753521755e-05,Downregulated
ASCL5,1.92396374920297,4.78356253326726e-07,3.48408231747378e-05,Upregulated
LOC124902765,1.03455412003891,4.79755279047923e-07,3.48408231747378e-05,Upregulated
BRD7P6,-3.24336336950786,4.85203550102669e-07,3.50893376050686e-05,Downregulated
GTF2IP5,-3.13380316967254,4.86409257581544e-07,3.50893376050686e-05,Downregulated
LOC105371363,-3.29180427145535,4.91772740706504e-07,3.53587857341093e-05,Downregulated
CBWD4P,-1.89143387425916,5.06531570832942e-07,3.62997575216716e-05,Downregulated
TFDP1P3,-3.60517360543572,5.17159825395215e-07,3.69395014757621e-05,Downregulated
NFILZ,-1.89826255811004,5.79920199257766e-07,4.11598817722926e-05,Downregulated
CYCSP30,-2.34009049734722,5.80037018620315e-07,4.11598817722926e-05,Downregulated
C8orf33,-2.59238492267102,6.56914296633322e-07,4.64633128244168e-05,Downregulated
LOC124906103,-2.97810653337396,6.73119183746862e-07,4.74549024541537e-05,Downregulated
LOC105373925,-1.08727578549265,7.09357717752472e-07,4.98478753504116e-05,Downregulated
CCDC92,-1.85251611347733,7.19325364450341e-07,5.03852611731442e-05,Downregulated
LOC107986710,1.17400486580243,7.4710273035681e-07,5.21626645883208e-05,Upregulated
TMEM164,-2.03037451891194,7.54437603287421e-07,5.23755465814463e-05,Downregulated
LOC107984881,-2.47901160882363,7.5497587178745e-07,5.23755465814463e-05,Downregulated
AGO3,-1.96960522188214,7.59155314841875e-07,5.24977659441926e-05,Downregulated
CPNE7,-2.76791711680447,7.64288422737952e-07,5.26849486074029e-05,Downregulated
LOC101929898,-1.89048420190926,7.94628799536397e-07,5.46030688390295e-05,Downregulated
ZNF669,-2.86901210206684,8.51242501840686e-07,5.83087687222986e-05,Downregulated
POU5F2,-2.86249454415689,8.54430825852547e-07,5.83431162030258e-05,Downregulated
FEM1A,-2.1810048862386,8.60863041295402e-07,5.85980566730043e-05,Downregulated
